image_path,label
/content/vehicleimages/hatchback/PHOTO_89.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_279.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_315.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_445.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_99.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_391.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_257.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_241.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_442.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_81.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_484.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_65.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_7.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_106.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_197.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_310.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_163.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_477.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_419.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_63.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_12.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_336.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_229.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_278.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_272.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_289.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_236.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_140.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_261.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_550.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_421.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_116.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_410.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_49.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_174.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_254.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_342.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_407.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_326.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_559.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_570.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_568.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_214.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_93.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_130.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_57.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_54.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_275.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_329.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_505.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_492.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_545.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_349.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_0.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_476.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_128.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_369.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_201.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_133.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_591.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_208.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_222.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_182.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_186.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_207.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_581.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_348.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_267.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_121.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_319.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_266.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_152.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_122.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_188.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_406.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_304.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_592.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_70.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_577.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_193.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_367.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_290.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_211.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_156.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_366.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_30.jpg,hatchback
/content/vehicleimages/hatchback/PHOTO_353.jpg,hatchback
